product_id,category,name,brand,size,price,mrp,discount_percent,rack_location,in_stock,health_tags
1,Bread,Whole Wheat Bread 500 ml India Gate,India Gate,500 ml,584.07,648.97,10,A01-R01-S01,1,kids;diabetic friendly;snack
2,Rice,Sona Masoori 250 g India Gate,India Gate,250 g,104.59,110.09,5,A02-R02-S02,1,high fibre
3,Bread,Brown Bread 2 kg Parle,Parle,2 kg,59.96,66.62,10,A03-R03-S03,1,protein;snack
4,Pulses,Toor Dal 500 ml Lays,Lays,500 ml,591.9,739.88,20,A04-R04-S04,1,high fibre
5,Snacks,Namkeen 500 g Britannia,Britannia,500 g,630.16,630.16,0,A05-R05-S05,1,diabetic friendly;low sugar
6,Beverages,Mango Drink 250 g Amul,Amul,250 g,174.25,174.25,0,A06-R01-S06,1,diabetic friendly
7,Bread,White Bread 500 ml Parle,Parle,500 ml,373.05,414.5,10,A07-R02-S01,1,diabetic friendly
8,Snacks,Potato Chips 200 ml Modern,Modern,200 ml,652.91,687.27,5,A08-R03-S02,1,kids;low fat;snack
9,Beverages,Orange Juice 250 g DMart,DMart,250 g,406.92,508.65,20,A09-R04-S03,1,kids
10,Biscuits,Marie Gold 250 g Aashirvaad,Aashirvaad,250 g,626.84,783.55,20,A10-R05-S04,1,snack;protein;low sugar
11,Rice,Sona Masoori 200 ml Fortune,Fortune,200 ml,35.41,44.26,20,A01-R01-S05,1,snack
12,Dairy,Curd 200 g Britannia,Britannia,200 g,279.11,310.12,10,A02-R02-S06,1,snack;low fat;kids
13,Pulses,Toor Dal 2 kg Lays,Lays,2 kg,711.18,748.61,5,A03-R03-S01,1,kids;staple
14,Biscuits,Bourbon 500 g Parle,Parle,500 g,613.78,646.08,5,A04-R04-S02,1,snack;protein
15,Oil,Groundnut Oil 100 g Modern,Modern,100 g,629.17,699.08,10,A05-R05-S03,1,low fat
16,Bread,Whole Wheat Bread 500 g Amul,Amul,500 g,663.93,781.1,15,A06-R01-S04,1,staple;diabetic friendly
17,Snacks,Namkeen 1 L Lays,Lays,1 L,90.76,100.84,10,A07-R02-S05,1,high fibre;low fat
18,Oil,Sunflower Oil 1 L Amul,Amul,1 L,616.91,771.14,20,A08-R03-S06,1,staple;low fat
19,Rice,Regular Rice 2 kg Modern,Modern,2 kg,99.04,116.52,15,A09-R04-S01,1,high fibre;staple;snack
20,Rice,Regular Rice 200 ml Lays,Lays,200 ml,487.71,513.38,5,A10-R05-S02,1,protein;diabetic friendly;low fat
21,Rice,Basmati Rice 2 kg Modern,Modern,2 kg,339.6,339.6,0,A01-R01-S03,0,low sugar
22,Bread,White Bread 1 kg India Gate,India Gate,1 kg,231.2,243.37,5,A02-R02-S04,0,kids;low fat
23,Pulses,Chana Dal 100 g India Gate,India Gate,100 g,40.11,42.22,5,A03-R03-S05,1,diabetic friendly
24,Beverages,Cola 500 g Britannia,Britannia,500 g,660.03,660.03,0,A04-R04-S06,1,staple;diabetic friendly;low fat
25,Rice,Basmati Rice 250 g Modern,Modern,250 g,87.89,97.66,10,A05-R05-S01,1,high fibre;snack
26,Bread,Brown Bread 1 L India Gate,India Gate,1 L,224.34,280.43,20,A06-R01-S02,1,diabetic friendly;high fibre;snack
